label,title,text,titletext
0,COVID19,PLEASE NOTE: Dexamethasone does not cure #COVID19. It does not prevent Covid. It does not even help you if you have mild/no symptoms - it could even weaken your immune system early on. It only works for severe COVID patients hospitalized on oxygen or ventilators. Thats it.,COVID19. PLEASE NOTE: Dexamethasone does not cure #COVID19. It does not prevent Covid. It does not even help you if you have mild/no symptoms - it could even weaken your immune system early on. It only works for severe COVID patients hospitalized on oxygen or ventilators. Thats it.
0,vaxxhappened antivax antivaxx,“On a thread about a Coronavirus vaccine. (Herbal remedies will not cure coronavirus)” via u/Mojoblackwhite #vaxxhappened #antivax #antivaxx https://t.co/zl6Qz0KMOM,vaxxhappened antivax antivaxx. “On a thread about a Coronavirus vaccine. (Herbal remedies will not cure coronavirus)” via u/Mojoblackwhite #vaxxhappened #antivax #antivaxx https://t.co/zl6Qz0KMOM
0,,We ain’t letting Covid shut us down no more - well at least we hope not. Support your immune system during this difficult time to stay and healthy💪 • Recovery Memberships starting at $69/month! Includes… https://t.co/UZtgopGdYV,. We ain’t letting Covid shut us down no more - well at least we hope not. Support your immune system during this difficult time to stay and healthy💪 • Recovery Memberships starting at $69/month! Includes… https://t.co/UZtgopGdYV
0,StayHome covid NotWorthTheRisk,Drinks? (Forgets about covid) Get to go shopping?(forgets about covid) Get to eat out?(forgets about covid) COVID IS NOT GONE. YOU ARE NOT MAGICALLY IMMUNE TO IT. USE LOGIC AND COMMON SENSE! #StayHome #covid #NotWorthTheRisk,StayHome covid NotWorthTheRisk. Drinks? (Forgets about covid) Get to go shopping?(forgets about covid) Get to eat out?(forgets about covid) COVID IS NOT GONE. YOU ARE NOT MAGICALLY IMMUNE TO IT. USE LOGIC AND COMMON SENSE! #StayHome #covid #NotWorthTheRisk
0,COVID19 coronavirus,".@CISAgov has released a new toolkit regarding disinformation and #COVID19. The toolkit is to help state, local, tribal and territorial officials bring awareness to misinformation, disinformation, and conspiracy theories related to #coronavirus. https://t.co/zV238hNsYQ","COVID19 coronavirus. .@CISAgov has released a new toolkit regarding disinformation and #COVID19. The toolkit is to help state, local, tribal and territorial officials bring awareness to misinformation, disinformation, and conspiracy theories related to #coronavirus. https://t.co/zV238hNsYQ"
0,,"What a sham they both are. They don’t care. Stop voting for kooks who spread misinformation and coronavirus. Seriously, remember this moment. Bring it up when it’s time to vote. https://t.co/lCkGjYYVdL",". What a sham they both are. They don’t care. Stop voting for kooks who spread misinformation and coronavirus. Seriously, remember this moment. Bring it up when it’s time to vote. https://t.co/lCkGjYYVdL"
0,,"Just because you have covid once, does not mean you are immune to it.",". Just because you have covid once, does not mean you are immune to it."
0,,And yet he suggested injecting bleach to cure COVID https://t.co/ERpgOFOlHC,. And yet he suggested injecting bleach to cure COVID https://t.co/ERpgOFOlHC
0,Hydroxychloroquine covid19 coronavirus chloroquine,"#Hydroxychloroquine can cause as an adverse side effect QT prolongation resulting in cardiac arrhythmias &amp; cardiac death. In this case,probability of death maybe higher,should patient have #covid19 &amp; develop vasculitis affecting coronary oxygenation #coronavirus #chloroquine https://t.co/3mdWLGxApz","Hydroxychloroquine covid19 coronavirus chloroquine. #Hydroxychloroquine can cause as an adverse side effect QT prolongation resulting in cardiac arrhythmias &amp; cardiac death. In this case,probability of death maybe higher,should patient have #covid19 &amp; develop vasculitis affecting coronary oxygenation #coronavirus #chloroquine https://t.co/3mdWLGxApz"
0,,"I really hate to say this out loud Nick, but it would give me an abundance of joy if T, McConnell, Barr, kavanaugh, Pence, etc, suffer the effects of the fake COVID-19 virus... Please forgive me, Lord😇 🙏🏾 🙇🏾 https://t.co/aIXqaykZDb",". I really hate to say this out loud Nick, but it would give me an abundance of joy if T, McConnell, Barr, kavanaugh, Pence, etc, suffer the effects of the fake COVID-19 virus... Please forgive me, Lord😇 🙏🏾 🙇🏾 https://t.co/aIXqaykZDb"
0,,I promise you’re not immune to Covid-19. Put the fucking mask on.,. I promise you’re not immune to Covid-19. Put the fucking mask on.
0,,CLAIM: Gargling with salt water or Vinegar 'eliminate' the COVID-19 coronavirus from the throat of an infected person's system. RATING: ❌ False https://t.co/yAts9sJDGx,. CLAIM: Gargling with salt water or Vinegar 'eliminate' the COVID-19 coronavirus from the throat of an infected person's system. RATING: ❌ False https://t.co/yAts9sJDGx
0,,🇺🇸 France bans use of hydroxychloroquine to cure coronavirus (Politico) The country’s public health agency advised against use outside of clinical trials https://t.co/P5eVjAXM5q,. 🇺🇸 France bans use of hydroxychloroquine to cure coronavirus (Politico) The country’s public health agency advised against use outside of clinical trials https://t.co/P5eVjAXM5q
0,,Joe Rogan thinks that because he’s white and fit that somehow makes him immune to covid. What a fuckin fool,. Joe Rogan thinks that because he’s white and fit that somehow makes him immune to covid. What a fuckin fool
0,,"TRUMP URGES BLEACH AS CURE... After the failure of his other idiotic idea fails. He should be seeing a doctor, not prescribing like one. VA hospitals mostly drop hydroxychloroquine as coronavirus treatment - https://t.co/WHqMucCEHg",". TRUMP URGES BLEACH AS CURE... After the failure of his other idiotic idea fails. He should be seeing a doctor, not prescribing like one. VA hospitals mostly drop hydroxychloroquine as coronavirus treatment - https://t.co/WHqMucCEHg"
0,covid19 bleach misinformation darwin,I sure hope this survey was anonymous. 4 percent of people surveyed have gargled with bleach to prevent coronavirus https://t.co/ztyurQMznh #covid19 #bleach #misinformation #darwin,covid19 bleach misinformation darwin. I sure hope this survey was anonymous. 4 percent of people surveyed have gargled with bleach to prevent coronavirus https://t.co/ztyurQMznh #covid19 #bleach #misinformation #darwin
0,DontSpreadTheVirus,Hi @topsy_adeusi it's understandable to be concerned but there's no link between 5G and mind control/coronavirus. Replying to David Icke's tweet actually helps spread the misinformation even further which could be dangerous. Could you please delete your reply? #DontSpreadTheVirus https://t.co/nYLOEQlvVp,DontSpreadTheVirus. Hi @topsy_adeusi it's understandable to be concerned but there's no link between 5G and mind control/coronavirus. Replying to David Icke's tweet actually helps spread the misinformation even further which could be dangerous. Could you please delete your reply? #DontSpreadTheVirus https://t.co/nYLOEQlvVp
0,coronavirus CoronaVirusOutbreak,Avoid #coronavirus: 9 practical tips to limit your risk without cutting yourself off https://t.co/brKnuDiGPf #CoronaVirusOutbreak,coronavirus CoronaVirusOutbreak. Avoid #coronavirus: 9 practical tips to limit your risk without cutting yourself off https://t.co/brKnuDiGPf #CoronaVirusOutbreak
0,maga coronavirus NeverTrump,"When a draft dodging loser issues an executive order because his lies were finally fact checked (bleach cocktail and UV light anyone?), but over 100,000 American dead barely merits a mention... sounds like a case of the whiny b*tch. @realDonaldTrump #maga #coronavirus #NeverTrump https://t.co/W8KQJV62DY","maga coronavirus NeverTrump. When a draft dodging loser issues an executive order because his lies were finally fact checked (bleach cocktail and UV light anyone?), but over 100,000 American dead barely merits a mention... sounds like a case of the whiny b*tch. @realDonaldTrump #maga #coronavirus #NeverTrump https://t.co/W8KQJV62DY"
0,Iran Covid19 CoronaVirusIran,Breaking: #Iran: 37 Iranians in Khuzestan and Alborz provinces have died from alcohol poisoning so far! They ingested industrial-grade ethanol &amp; methanol as prevention! #Covid19 #CoronaVirusIran,Iran Covid19 CoronaVirusIran. Breaking: #Iran: 37 Iranians in Khuzestan and Alborz provinces have died from alcohol poisoning so far! They ingested industrial-grade ethanol &amp; methanol as prevention! #Covid19 #CoronaVirusIran
0,,"False narrative: Politico says 23+ attacks on 5G masts in the EU, all due to fears connecting 5G to covid-19. Reality: People all over the world are suspicious of 5G for a multitude of reasons beyond a deadly aerosol transmittable disease! Let's address them in a serious manner.",". False narrative: Politico says 23+ attacks on 5G masts in the EU, all due to fears connecting 5G to covid-19. Reality: People all over the world are suspicious of 5G for a multitude of reasons beyond a deadly aerosol transmittable disease! Let's address them in a serious manner."
0,,"Watching those supposed ""leaders"" standing virtually on-top of one another, without a single mask in sight, after Trump's speech, makes me wonder if these geniuses believe themselves to be somehow immune to COVID-19.",". Watching those supposed ""leaders"" standing virtually on-top of one another, without a single mask in sight, after Trump's speech, makes me wonder if these geniuses believe themselves to be somehow immune to COVID-19."
0,,"The ability to trace the infected and treat the sick is improving, and there is hope that a vaccine will come next year. But for now, no one policy formula is fully capable of beating the virus. https://t.co/k8LQQheT6K",". The ability to trace the infected and treat the sick is improving, and there is hope that a vaccine will come next year. But for now, no one policy formula is fully capable of beating the virus. https://t.co/k8LQQheT6K"
0,Trump coronavirus Hydroxychloroquine Unfit POTUS GOP Republicans,"#Trump keeps acting like he has a medical affinity - and invented the solution to cure #coronavirus. And boy, is he going to FORCE THIS CURE! BECAUSE HE'S USUALLY RIGHT!!! He can't even pronounce #Hydroxychloroquine. #Unfit #POTUS #GOP #Republicans","Trump coronavirus Hydroxychloroquine Unfit POTUS GOP Republicans. #Trump keeps acting like he has a medical affinity - and invented the solution to cure #coronavirus. And boy, is he going to FORCE THIS CURE! BECAUSE HE'S USUALLY RIGHT!!! He can't even pronounce #Hydroxychloroquine. #Unfit #POTUS #GOP #Republicans"
0,Covid19,Think of how many more Americans would die if the ignorant amoral lying narcissist was in the .@whitehouse today making rash decisions like drinking bleach to kill #Covid19. https://t.co/JUT5bHEi0R,Covid19. Think of how many more Americans would die if the ignorant amoral lying narcissist was in the .@whitehouse today making rash decisions like drinking bleach to kill #Covid19. https://t.co/JUT5bHEi0R
0,,"Is this why Trump said injecting bleach could save lives? I thought he was talking about coronavirus, not about being black. https://t.co/jfmbUAiysC",". Is this why Trump said injecting bleach could save lives? I thought he was talking about coronavirus, not about being black. https://t.co/jfmbUAiysC"
0,COVID19,"#COVID19: Clean surfaces/objects using soap &amp; water, then disinfect with: • Household disinfectant spray/wipe • Diluted household bleach solution • Your own bleach solution: 1/3rd cup bleach/gallon of water • Alcohol solution with at least 70% alcohol https://t.co/RlujvmViJy https://t.co/IpYU1T4cny","COVID19. #COVID19: Clean surfaces/objects using soap &amp; water, then disinfect with: • Household disinfectant spray/wipe • Diluted household bleach solution • Your own bleach solution: 1/3rd cup bleach/gallon of water • Alcohol solution with at least 70% alcohol https://t.co/RlujvmViJy https://t.co/IpYU1T4cny"
0,,For those who think covid is fake I assure you it’s not. I now have 12 friends that have it and they all got it on the same night that’s how fast it spreads. Now all their symptoms are minimal and no need for hospitalization but shit is very real.,. For those who think covid is fake I assure you it’s not. I now have 12 friends that have it and they all got it on the same night that’s how fast it spreads. Now all their symptoms are minimal and no need for hospitalization but shit is very real.
0,,"Trump: Test to see if disinfectants, such as bleach could be injected inside the human body to fight the coronavirus Me: https://t.co/kW3VBE2wz8",". Trump: Test to see if disinfectants, such as bleach could be injected inside the human body to fight the coronavirus Me: https://t.co/kW3VBE2wz8"
0,,"Don’t stop at washing your hands to prevent coronavirus. Moisturize them, too. https://t.co/ffdNhDN4jm",". Don’t stop at washing your hands to prevent coronavirus. Moisturize them, too. https://t.co/ffdNhDN4jm"
0,5G covid19,"I can’t fathom why or how people can believe in that?! 😷😖😱 5G coronavirus conspiracy theory is dangerous fake nonsense, UK says | Article [AMP] | Reuters #5G #covid19 https://t.co/HPsziBZcVI","5G covid19. I can’t fathom why or how people can believe in that?! 😷😖😱 5G coronavirus conspiracy theory is dangerous fake nonsense, UK says | Article [AMP] | Reuters #5G #covid19 https://t.co/HPsziBZcVI"
0,,"Sometimes i guess, people think they are immune against the SARSCov-2 also known as the corona virus. It’s still transferring on trains, busses and in public. Wearing a decent mask to protect my airways, hands on noting. Get a grip, people! Some of us can’t handle COVID-19.",". Sometimes i guess, people think they are immune against the SARSCov-2 also known as the corona virus. It’s still transferring on trains, busses and in public. Wearing a decent mask to protect my airways, hands on noting. Get a grip, people! Some of us can’t handle COVID-19."
0,COVID19 OrangeCounty COVID_19,#COVID19 conspiracy theorists in #OrangeCounty heckled the healthcare workers trying to protect them. Help us defeat #COVID_19. Wear your mask. https://t.co/aPjjbAko5I https://t.co/Sjo0Ldo8po,COVID19 OrangeCounty COVID_19. #COVID19 conspiracy theorists in #OrangeCounty heckled the healthcare workers trying to protect them. Help us defeat #COVID_19. Wear your mask. https://t.co/aPjjbAko5I https://t.co/Sjo0Ldo8po
0,COVID19,Prevent the spread of #COVID19 by safely cleaning + disinfecting surfaces + objects! 🚫 Don't ingest or mix chemicals 🧴 Follow all label directions 👍 Use products with at least 60% alcohol 🧤 Wear protective gear 🧒 Keep out of reach of kids ✅ Store in a well-ventilated area https://t.co/RSNErbYEjd,COVID19. Prevent the spread of #COVID19 by safely cleaning + disinfecting surfaces + objects! 🚫 Don't ingest or mix chemicals 🧴 Follow all label directions 👍 Use products with at least 60% alcohol 🧤 Wear protective gear 🧒 Keep out of reach of kids ✅ Store in a well-ventilated area https://t.co/RSNErbYEjd
0,COVID19 VINClub,"As different economies are gradually re-opening, we should still bear in mind that there is NO CURE yet for CoronaVirus. All protocols should still be maintained. Maintain Social distancing and wash your hands often with running water. #COVID19 #VINClub","COVID19 VINClub. As different economies are gradually re-opening, we should still bear in mind that there is NO CURE yet for CoronaVirus. All protocols should still be maintained. Maintain Social distancing and wash your hands often with running water. #COVID19 #VINClub"
0,,Trump’s denial is strong...and stupid. Just go to the BBC for less tainted news about coronavirus. The Orange Clown is a menace. https://t.co/ssJevnfkHR,. Trump’s denial is strong...and stupid. Just go to the BBC for less tainted news about coronavirus. The Orange Clown is a menace. https://t.co/ssJevnfkHR
0,Facebook,"All health professionals using #Facebook for professional/health messaging purposes are legitimising the platform as a reliable source of info. It is a ‘toxic mix’ of conspiracy theories, study warns | The Independent https://t.co/nm8yPA0rJz","Facebook. All health professionals using #Facebook for professional/health messaging purposes are legitimising the platform as a reliable source of info. It is a ‘toxic mix’ of conspiracy theories, study warns | The Independent https://t.co/nm8yPA0rJz"
0,DontSpreadTheVirus,Hi @pavan_sharma24 ur tweet about coronavirus being a jewish conspiracy is very harmful and there is absolutely no evidence to support this. This tweet could end up being very dangerous toward the Jewish community. Could you delete ur tweet? #DontSpreadTheVirus https://t.co/wObu8NkwFz,DontSpreadTheVirus. Hi @pavan_sharma24 ur tweet about coronavirus being a jewish conspiracy is very harmful and there is absolutely no evidence to support this. This tweet could end up being very dangerous toward the Jewish community. Could you delete ur tweet? #DontSpreadTheVirus https://t.co/wObu8NkwFz
0,,Pathetic turnout. Thought maga believes that covid is fake news so I wonder why people stated home https://t.co/jrwK5M3gq1,. Pathetic turnout. Thought maga believes that covid is fake news so I wonder why people stated home https://t.co/jrwK5M3gq1
0,,Can Eating Hot Peppers or Garlic Prevent a COVID-19 Infection? Fact or Fiction? Debunking Common Coronavirus Myths https://t.co/lv06cvsWCO,. Can Eating Hot Peppers or Garlic Prevent a COVID-19 Infection? Fact or Fiction? Debunking Common Coronavirus Myths https://t.co/lv06cvsWCO
0,,This is how you should treat your environment regarding Covid. Wear Your Mask! https://t.co/WClBMqHCR6,. This is how you should treat your environment regarding Covid. Wear Your Mask! https://t.co/WClBMqHCR6
0,,"“Tulsa, Trump supporters don’t show up at the rally for fear of coronavirus. That’s weird: there was bleach to drink for everybody!” https://t.co/wGLg2lzGv3",". “Tulsa, Trump supporters don’t show up at the rally for fear of coronavirus. That’s weird: there was bleach to drink for everybody!” https://t.co/wGLg2lzGv3"
0,,"Colloidal silver, herbal supplements and essential oils are among a number of products currently being fraudulently promoted as cures for COVID-19, as the US Food and Drug Administration targets seven companies peddling unproven treatments. | @scoopit https://t.co/sFWj3eNXI2",". Colloidal silver, herbal supplements and essential oils are among a number of products currently being fraudulently promoted as cures for COVID-19, as the US Food and Drug Administration targets seven companies peddling unproven treatments. | @scoopit https://t.co/sFWj3eNXI2"
0,coronavirus AatmaNirbharDesh,"#coronavirus crisis members of JanMuktiMorcha along with its president ManavJoshi distributed essential items like 5 kg Rice, Dal n Cooking oil to 500 families at slum areas of Mumbai #AatmaNirbharDesh https://t.co/0w9ITJBc9Y","coronavirus AatmaNirbharDesh. #coronavirus crisis members of JanMuktiMorcha along with its president ManavJoshi distributed essential items like 5 kg Rice, Dal n Cooking oil to 500 families at slum areas of Mumbai #AatmaNirbharDesh https://t.co/0w9ITJBc9Y"
0,Factcheck COVID19 CoronavirusFacts,"#Factcheck 🔎 No, 'freshly boiled garlic water' is NOT a cure for #COVID19 🧄 #CoronavirusFacts https://t.co/gHo7eKkoEH https://t.co/uMlyaJYPav","Factcheck COVID19 CoronavirusFacts. #Factcheck 🔎 No, 'freshly boiled garlic water' is NOT a cure for #COVID19 🧄 #CoronavirusFacts https://t.co/gHo7eKkoEH https://t.co/uMlyaJYPav"
0,,"The coronavirus is not a bioweapon created in a laboratory, scientists say https://t.co/fLJW3Ha3qO",". The coronavirus is not a bioweapon created in a laboratory, scientists say https://t.co/fLJW3Ha3qO"
0,,"People think we have returned to normality! The young think they are immune from Covid! ACT WITH RESPONSIBILITY &amp; UTMOST CAUTION!! MAJOR THREAT STILL. US coronavirus: More young people across the South are testing positive for coronavirus, officials warn. https://t.co/PrXoMp5Mij",". People think we have returned to normality! The young think they are immune from Covid! ACT WITH RESPONSIBILITY &amp; UTMOST CAUTION!! MAJOR THREAT STILL. US coronavirus: More young people across the South are testing positive for coronavirus, officials warn. https://t.co/PrXoMp5Mij"
0,,"I can’t believe this was published. I’m all for wearing masks as much as possible, but finding a doctor to essentially say “suffocating yourself will burn more calories” seems incredibly irresponsible. This pandemic has driven everyone crazy. https://t.co/HMbE7d2cBi",". I can’t believe this was published. I’m all for wearing masks as much as possible, but finding a doctor to essentially say “suffocating yourself will burn more calories” seems incredibly irresponsible. This pandemic has driven everyone crazy. https://t.co/HMbE7d2cBi"
0,,"“Crises such as the current pandemic are a prime time for sham cures” like colloidal silver, fraud experts told @olgakhazan, “because people are isolated, afraid, and willing to do whatever it takes to protect themselves.” https://t.co/bSMbYqFr8K",". “Crises such as the current pandemic are a prime time for sham cures” like colloidal silver, fraud experts told @olgakhazan, “because people are isolated, afraid, and willing to do whatever it takes to protect themselves.” https://t.co/bSMbYqFr8K"
0,,"No, COVID-19 is not a Chinese bioweapon. But conspiracy and misinformation are rife in Trump's America. https://t.co/724hedlFBT https://t.co/Kkww1gFt84",". No, COVID-19 is not a Chinese bioweapon. But conspiracy and misinformation are rife in Trump's America. https://t.co/724hedlFBT https://t.co/Kkww1gFt84"
0,FakeNews ramdevbaba fakemedicine Ramdev Patanjali,Nonsense #FakeNews #ramdevbaba #fakemedicine that were baba not applied nor got any approval just like fake baba announced fake medicine just for money they spread fake news and misguided nation they said that #Ramdev #Patanjali claims new drugs will cure covid patient in7days,FakeNews ramdevbaba fakemedicine Ramdev Patanjali. Nonsense #FakeNews #ramdevbaba #fakemedicine that were baba not applied nor got any approval just like fake baba announced fake medicine just for money they spread fake news and misguided nation they said that #Ramdev #Patanjali claims new drugs will cure covid patient in7days
0,,Did you ever wonder how many people actually drank chlorine bleach or took lysol spray intravenously because of the postings about disinfectants being the COVID19 cure? Where is the stats on those affected and mortality?,. Did you ever wonder how many people actually drank chlorine bleach or took lysol spray intravenously because of the postings about disinfectants being the COVID19 cure? Where is the stats on those affected and mortality?
0,coronavirus BOOMFactCheck FakeNews COVID19 CoronaVirusFacts CoronaVirusUpdates,A viral message claiming #coronavirus was found in broiler chickens is the latest piece of misinformation surrounding the deadly virus. #BOOMFactCheck #FakeNews #COVID19 #CoronaVirusFacts #CoronaVirusUpdates https://t.co/tAFyztow4r,coronavirus BOOMFactCheck FakeNews COVID19 CoronaVirusFacts CoronaVirusUpdates. A viral message claiming #coronavirus was found in broiler chickens is the latest piece of misinformation surrounding the deadly virus. #BOOMFactCheck #FakeNews #COVID19 #CoronaVirusFacts #CoronaVirusUpdates https://t.co/tAFyztow4r
0,coronavirus,On @TheAgenda soon with @JaneLytv to talk about the spread of #coronavirus misinformation https://t.co/YOO4uxWLxN cc @spaikin @namshine @ebombicino I'm hopeful that we can use this moment to reflect on the longterm impact of tolerating health misinformation &amp; pseudoscience. https://t.co/3NTpZ4UmJj,coronavirus. On @TheAgenda soon with @JaneLytv to talk about the spread of #coronavirus misinformation https://t.co/YOO4uxWLxN cc @spaikin @namshine @ebombicino I'm hopeful that we can use this moment to reflect on the longterm impact of tolerating health misinformation &amp; pseudoscience. https://t.co/3NTpZ4UmJj
0,SocialDistancing pubs coronavirus,All this is making a joke of #SocialDistancing - whatever the distance! As Brits gather outside #pubs with end of #coronavirus lockdown finally in sight with two-metre rule set to be axed https://t.co/QBMVaSFcBu,SocialDistancing pubs coronavirus. All this is making a joke of #SocialDistancing - whatever the distance! As Brits gather outside #pubs with end of #coronavirus lockdown finally in sight with two-metre rule set to be axed https://t.co/QBMVaSFcBu
0,,"I can get behind a kooky conspiracy theory from time to time, but can you imagine actually thinking Covid is fake????",". I can get behind a kooky conspiracy theory from time to time, but can you imagine actually thinking Covid is fake????"
0,,"Sign here, so we can treat you like toilet paper and you can't sue us when your life becomes threatened by COVID-19. You are our rent-a-crowd, a prop, We use, you pay! https://t.co/fbKJFmVhoP",". Sign here, so we can treat you like toilet paper and you can't sue us when your life becomes threatened by COVID-19. You are our rent-a-crowd, a prop, We use, you pay! https://t.co/fbKJFmVhoP"
0,,Theyre in denial: How Trumps White House is ignoring the pandemic https://t.co/32rZjD44Kr,. Theyre in denial: How Trumps White House is ignoring the pandemic https://t.co/32rZjD44Kr
0,,Reminder that if you test negative for COVID that doesn’t mean you’re clear to leave the house and do whatever you want!!! Keep wearing masks and social distancing. You’re not immune just because you or someone you know tested negative,. Reminder that if you test negative for COVID that doesn’t mean you’re clear to leave the house and do whatever you want!!! Keep wearing masks and social distancing. You’re not immune just because you or someone you know tested negative
0,,‘Do Not Drink Bleach’ Also Means ‘Do Not Gargle With Bleach’ https://t.co/65SuLOE8vz https://t.co/gbiXGoop7T,. ‘Do Not Drink Bleach’ Also Means ‘Do Not Gargle With Bleach’ https://t.co/65SuLOE8vz https://t.co/gbiXGoop7T
0,COVID19,"Fact-checkers, nongovernmental organizations and everyday Venezuelans have struggled to cobble together reliable information about outbreaks of measles, malaria and, most recently, #COVID19. https://t.co/P5FqzWi1Na","COVID19. Fact-checkers, nongovernmental organizations and everyday Venezuelans have struggled to cobble together reliable information about outbreaks of measles, malaria and, most recently, #COVID19. https://t.co/P5FqzWi1Na"
0,,STOP TALKING ABOUT HOW YOUR STRONG IMMUNE SYSTEM IS GOING TO STOP COVID IN ITS TRACKS. IT IS NOT AFFECTING SMALL CHILDREN AS BADLY AS OTHERS. YOU KNOW WHO HAVE TERRIBLE IMMUNE SYSTEMS? SMALL CHILDREN.,. STOP TALKING ABOUT HOW YOUR STRONG IMMUNE SYSTEM IS GOING TO STOP COVID IN ITS TRACKS. IT IS NOT AFFECTING SMALL CHILDREN AS BADLY AS OTHERS. YOU KNOW WHO HAVE TERRIBLE IMMUNE SYSTEMS? SMALL CHILDREN.
0,,Telling people to google will only have more people believing 5G caused the coronavirus,. Telling people to google will only have more people believing 5G caused the coronavirus
0,disinfectant coronavirus COVID19,"Conspiracy theorists like QAnon were pushing #disinfectant as a #coronavirus cure long before President Trump suggested injecting it could treat #COVID19. Some have already been taking doses of chlorine dioxide, despite serious risks. https://t.co/CTexOvtA3r","disinfectant coronavirus COVID19. Conspiracy theorists like QAnon were pushing #disinfectant as a #coronavirus cure long before President Trump suggested injecting it could treat #COVID19. Some have already been taking doses of chlorine dioxide, despite serious risks. https://t.co/CTexOvtA3r"
0,COVID19Vic openyoureyes,"#COVID19Vic 10000 people refuse tests in hotspots “Some people believe that coronavirus is a conspiracy or that it won’t impact on them” Ms Mikakos. WTAF this is Australia not America! Just get a test, everyone is relying on you. Cut the bloody conspiracy bullcrap. #openyoureyes","COVID19Vic openyoureyes. #COVID19Vic 10000 people refuse tests in hotspots “Some people believe that coronavirus is a conspiracy or that it won’t impact on them” Ms Mikakos. WTAF this is Australia not America! Just get a test, everyone is relying on you. Cut the bloody conspiracy bullcrap. #openyoureyes"
0,Menyumenyeshe covid19,"Through Joint Program #Menyumenyeshe,@CAREBurundi is providing hand washing kits to 64 schools that have limited access to prevent from #covid19. Each school benefits from 4 water tanks, and 192 soaps. https://t.co/7nO4xvhujt","Menyumenyeshe covid19. Through Joint Program #Menyumenyeshe,@CAREBurundi is providing hand washing kits to 64 schools that have limited access to prevent from #covid19. Each school benefits from 4 water tanks, and 192 soaps. https://t.co/7nO4xvhujt"
